CCOGID,Category,Definition,Occupational Group 1 / Level 1,Occupational Group 2 / Level 2
2.1.04,GS,"Assist the organization's auditors in the examination and evaluation of financial and information systems, management procedures and internal controls; identify and select documents and records; check figures, postings and documents, verify accuracy; assemble and classify data into categories; correct or note errors.",Auditing and programme evaluation support,NULL
2.1.05,GS,"Provide technical and clerical support in the compilation, maintenance and extraction of information through the use of communication technology equipment by applying established procedures to such tasks as: deploying hardware and software to users and documenting equipment and software usage; coordinating and/or updating and running programmes, reviewing outputs for desired results; maintaining computer records; answering users' questions; identifying and resolving errors caused by human or equipment failures; operating and supporting particular multi-user applications and software services; and training users.",Management of information and communication technology support,NULL
2.1.05.a,GS,"Provide technical assistance, support and advice to users; troubleshoot problems and provide technical support for hardware, software and systems; answer telephone calls or respond to e-mail messages from users, analyse problems by using automated diagnostic programmes and resolve recurring difficulties; install, modify and repair computer hardware and software; train users and coordinate the implementation of new applications.",Management of information and communication technology support,a. Information systems support
2.1.05.b,GS,"Provide assistance in testing the use of the organization's computer system to ensure that it performs as planned; prepare specifications, flow charts, and process diagrams; assist programmers to ""debug"", or eliminate errors from the system; write and test simple, well-defined programs; maintain and modify existing programs and procedures; prepare and update documentation.",Management of information and communication technology support,b. Systems development support
2.1.05.c,GS,"Perform technical and processing duties in the design and maintenance of websites and web pages; test, and evaluate systems such as local area networks (LANs), wide area networks (WANs), the Internet, Intranets, and other data communications systems, including globally distributed networks, voice mail, and e-mail systems of the organization. Research-related products and make hardware and software recommendations.",Management of information and communication technology support,c. Telecommunications related
2.1.05.d,GS,"Perform data entry and information processing work by keying in text, entering data into a computer, operating a variety of office machines, and performing other clerical duties; set up and prepare reports, letters, mailing labels, and other text material; prepare standard forms on computers; plan and key complicated statistical tables, combine and rearrange materials from different sources, or prepare master copies.",Management of information and communication technology support,d. Documentation processing
2.1.05.e,GS,"Perform duties related to the examination and editing of permanent records and documents of historical interest and the appraisal of their value to posterity or the organization; take part in their categorization, systematic indexing and preservation; and retrieve records and documents from storage for permanent or temporary disposal.",Management of information and communication technology support,e. Archives-related
2.1.05.f,GS,"Receive and forward incoming and dispatch outgoing mail and parcels: collect mail from post office; collect and deliver correspondence, documents, files and packages from and to locations within or outside the organization: collect air pouches and parcels; sort incoming mail and code for references; sort outgoing mail and parcels; determine least costly and speediest method of delivery; calculate postage and frank outgoing mail; prepare postal, air or surface dispatch documentation; record and account for postage and other dispatch expenses; buy stamps or metered postage; sell and account for stamps; seal envelopes and wrap parcels; deal with inadequately addressed mail and parcels; and initiate investigation of lost items; picking up and delivering correspondence and packages sent within and outside the organization; and disposing of records in accordance with established time frames and methods; keep simple records; and obtain receipts for articles delivered.",Management of information and communication technology support,f. Mailing and documents distribution
2.1.06,GS,"Provide administrative, procedural and technical support for human resources management functions (staff recruitment, placement, transfer, performance management, promotion, training and development, job classification, compensation and benefits, staff relations). Maintain and update manual and/or automated information and reference systems and databases.",Human resources management -related,NULL
2.1.06.a,GS,"Provide procedural and technical support for the administration of benefits and staff entitlements and the application of staff regulations and rules; process personnel transactions relating to salary, benefits and social security schemes; verify accuracy of source materials; obtain benefits estimates and final benefit calculations; brief staff or former staff on entitlements and changes therein; prepare documentation required for disbursement of benefits; obtain and verify information that serves to determine eligibility for entitlements and to establish and/or update the application of contract provisions; brief staff on their entitlements and on administrative procedures and rules; compile and retrieve data and maintain appropriate records; process payroll.",Human resources management -related,"a. Benefits, personnel entitlements and payroll support"
2.1.06.b,GS,"Provide technical and administrative support at various stages of the prospection and recruitment process: assemble and maintain lists of prospection sources; assist in the preparation of vacancy announcement; initiate reproduction and distribution of same, including by electronic transmission; receive, categorize, respond to and store applications; assist in establishment of computerized rosters, as necessary; retrieve stored applications; respond to questions about or from applicants; provide support for the planning and conduct of interviews and tests.",Human resources management -related,"b. Recruitment, placement and staffing support"
2.1.06.c,GS,"Compile and retrieve statistical and other data and background information which assists in human resources planning or related to the evaluation of jobs, or organizational planning and design; maintain and update databases and extract and provide information for different purposes in support of human resources management; compile, maintain and retrieve data used to identify career paths and job opportunities; respond to general queries from staff, process documents relating to performance appraisal and management, requests for job classification, assist in the preparation of job descriptions; assemble documentation in support of appeal resolution; check, issue and codify salary scales for specific categories or groups of staff; maintain files of salary survey materials, salary scales and survey working materials.",Human resources management -related,"c. Human resources planning, classification and compensation support"
2.1.06.d,GS,"Provide support and specialized services in the areas of staff development and performance management, including planning and organizing of training workshops and learning events, implementation of distance learning concepts and related online administrative support, training-needs identification, as well as assistance in course delivery and evaluation of training provided; apply standard statistical formulas in identifying distributions and trends; assist in performance monitoring on an individual or group basis and in clarifying performance objectives, including by tracking compliance with organizational procedures.",Human resources management -related,d. Staff development and performance management support
2.2,GS,This job family includes occupations that carry out technical and procedural duties in support of professional services and programmes.,Programme management support,NULL
2.2.01,GS,"Assemble and maintain data for use in the planning and analysis of organizational operations by participating in or conducting studies and presenting data in narrative or graphic formats, as required.",Programme assistance,NULL
2.2.01.a,GS,"Perform work in support of technical cooperation activities, including such tasks as assembling and maintaining reference materials on specific countries or geographic areas; coordinating, monitoring and documenting project or programme implementation and funding; initiating recruitment actions and preparing forms for employment of experts, consultants and volunteers; drafting correspondence and informational material; organizing and coordinating symposiums; and related support duties.",Programme assistance,a. Technical cooperation support
2.2.01.b,GS,Perform technical and procedural duties in support of the development of economic plans and the application of theories and principles through such tasks as extracting information from relevant publications; preparing and maintaining subject-matter bibliographies; compiling data for inclusion in studies and reports; and coordinating meetings on emerging issues.,Programme assistance,b. Economics related
2.2.01.c,GS,"Perform technical, processing and record-keeping duties in support of education and training programmes through such tasks as assembling and reviewing material for possible inclusion in curricula; evaluating training projects for correlation between training and performance; counselling students on prospective courses of study; monitoring tuition costs; interviewing candidates for scholarships; and verifying scholarship students' expenses borne by the organization.",Programme assistance,c. Education related
2.2.01.d,GS,"Perform technical, processing and record-keeping duties in support of the preparation of legal manuscripts and the dissemination of legal advice and duties relating to the application of international conventions such as those providing for the registration of patents, trademarks and industrial designs and models; maintain and update case files, reference materials and related indexes; research and summarize legal precedents and review publications for relevant information and related support functions",Programme assistance,d. Legal related
2.2.01.e,GS,"Perform administrative, technical, statistical and documentation tasks in support of scientific research and applied medical, agro- and biotechnical and related areas, and performing such tasks as testing the validity of data through controlled laboratory experiments; preparing narrative and graphic documentation of findings and performing other related support tasks.",Programme assistance,e. Life-science related
2.2.01.f,GS,"Perform technical and administrative tasks in support of disciplines concerned with research and practical application of physics, chemistry, geography and other physical sciences by carrying out standardized tests and experiments, preparing test cultures, assembling, organizing, documenting ,data and/or materials, assisting in standardized evaluation of data generated through laboratory-based or other applied experiments or analyses; updating of maps and charts; maintaining and updating and operating specialized equipment.",Programme assistance,f. Physical science related
2.2.01.g,GS,"Perform administrative or technical tasks in support of environmental science and related areas: monitor and report on implementation of environmental regulations; assist in the development of related training and public information campaign activities; work involves the application of technical knowledge in standardized laboratory experiments, including collecting, analysing or manipulating data or samples of material (within controlled parameters), under defined conditions in technical experiments and documenting the results.",Programme assistance,g. Environmental science –related
2.2.01.h,GS,"Perform technical, procedural and record-keeping duties contributory to the work of statistical data collection and presentation and in support of research into and application of theories and techniques in the fields of statistics and mathematics, including such tasks as compiling, sorting, analysing and updating data; preparing questionnaires; researching subject-matter information; retrieving, extracting, verifying, accumulating and transforming numeric data, make calculations; prepare tables and other graphic presentations of data either manually or using established software programmes, carry out various checks for consistency; answer general questions.",Programme assistance,"h. Statistics, mathematic and research related"
2.2.01.i,GS,"Perform processing, record-keeping and related tasks contributory to the work of sales and marketing specialists such as logistical tasks related to marketing and sales promotion campaigns and exhibitions; assist in the organization and performance of sales promotion and marketing activities, such as the preparation of market studies, sales promotion material, organization of participation in international fairs, etc., process orders and verify payments; verify quantities and values of inventory transactions; monitor the status of customer accounts; assist in the preparation of costing schedules; maintain contact with purchasers; compile statistical data for analysis and projection of sales trends; maintain databases of sales items and mailing lists of purchasers.",Programme assistance,i. Sales and marketing related
2.2.01.j,GS,"Provide assistance in the fields of architecture and engineering by applying a practical knowledge of the methods and techniques to projects involving structures, facilities, systems, processes, equipment or material, performing such tasks as testing, measuring, collecting data, installing, operating and maintaining equipment, preparing specifications and inspecting.",Programme assistance,j. Architecture and engineering related
2.2.02,GS,"Perform administrative or paramedical functions in support of medical/clinical/pharmaceutical activities, directly related to treatment of patients, such as interviews (including collection of illness - or impairment-related information), application of first-help, routine treatment, nursing care, vaccinations, laboratory work, including work on blood or other samples and related physical/chemical detection methods; work in this area also includes the provision of training and dissemination of health information related to work or private life of staff, dependants and other clientele of medical services.",Medical related,NULL
2.2.03,GS,"Perform duties in support of the acquisition, preservation, dissemination and disposition of documents, including books, periodicals and graphics and provide information to users; perform public relations and promotional tasks contributory to the dissemination of information about the organization; and organize information meetings and exhibitions, assist in the design of publications and information documents and in the organization of their distribution.","Information, media and public – relations related",NULL
2.2.03.a,GS,"Perform duties concerned with the creation of solutions to communications problems, developing material for Internet web pages, interactive media, and multimedia projects, preparing sketches or layouts; creating graphs and charts from data for use in publications; checking proofs for errors and print clarity; preparing material for printing. Perform a variety of tasks involved with transforming text and pictures into finished print-ready pages; perform duties involving the control, procurement and provision of printing services, including processing requisitions, determining specifications for reproducing a wide variety of printed matter, estimating costs for work done within the organization and by private firms and maintaining production and cost control records, and ensuring the timely distribution and delivery of published material.","Information, media and public – relations related","a. Audio-visual, graphic and printing/publishing – related"
2.2.03.b,GS,"Perform support activities related to the organization and dissemination of information about the organization through such media as newspapers, periodicals, radio and television; perform record-keeping and processing tasks relating to library materials, including the loan of books, periodicals, monographs, documents, collections (of maps, blueprints, statistical tables, reproductions or similar graphics), microfilms, microfiches and recordings or to electronic-assisted access to any of these: extract, assemble and summarize information; gather, prepare, retrieve and dispatch papers used to effect the selection, procurement, receipt, loan, exchange, sale or donation of library materials; store, retrieve and de-accession materials; verify receipt, catalogue and disseminate accessions or information about them; search for material on behalf of users and respond to questions on library resources; note and arrange for repairs of materials; note and arrange for the assembly and binding of materials; operate electronic-assisted access to contents of stored materials; and prepare information for electronic storage or retrieval; utilize software packages for library use to input data, update and maintain information files and manipulate data according to prescribed guidelines.","Information, media and public – relations related",b. Information dissemination and library services related
2.2.03.c,GS,"Perform procedural and technical public relations and promotional tasks contributory to the dissemination of information about the organization; assist in arranging and conducting programs to keep up contact between organization representatives and the public by organizing information meetings and exhibitions, assisting in the design of publications and information documents and in the organization of their distribution; draft press releases and contact people in the media who might print or broadcast the organization's material; make films, slides, or other visual presentations; conduct research, prepare materials, maintain contacts, and respond to inquiries; perform reception services by receiving and greeting visitors to the organization, escorting visitors on tours within buildings and grounds; and providing general information and answering questions.","Information, media and public – relations related",c. Media and public relations support
2.2.03.d,GS,"Provide assistance in liaison activities among United Nations system organizations, intergovernmental organizations, non-governmental organizations and permanent missions through such tasks as responding to requests for information, compiling and maintaining data and documents for reference purposes, drafting routine and non-routine correspondence, coordinating and expediting required services between organizations at different duty stations, carrying out meeting arrangements and conducting research for reports; maintain general documentation; respond to requests from missions and specialized agencies for information concerning protocol matters and maintain liaison with the host country mission with respect to certain problems concerning the diplomatic staff; assist in solving questions of protocol (precedence, equivalence; official terminology, etc.).","Information, media and public – relations related",d. Liaison and protocol support
2.2.04,GS,"Perform record-keeping or technical duties in support of editing, promoting and interpreting ideas and facts in written form or concerned with translating and interpreting written and spoken words from one language to another. Work in this group also includes the performance of duties to ensure the efficient and accurate collection, retention and disposition of documents and correspondence through such tasks as establishing, categorizing and maintaining files, using accepted organization methods; receiving, sorting and routing incoming and outgoing mail sent between the organization's offices and external parties using the fastest and most cost-effective means.",Language and documentation services,NULL
2.2.04.a,GS,Perform technical and record-keeping duties in support of the preparation and presentation in verbal or written form of facts and ideas where the primary focus is the use of language skills.,Language and documentation services,a. Writing and translation support
2.2.04.b,GS,"Perform technical, procedural and record-keeping tasks in support of the evaluation and revision of written material intended for publication; review and correct text in order that spelling, punctuation and syntax conform to authorized style of organization; verify references and quotations; collect, assemble and layout material for tables of contents and indexes; verify the accuracy and adequacy of the layout and captions of graphic material in text; caption graphic material; verify equivalency of text and graphic material in different language versions; provide instructions to reprographic services; record and draft parts of text prepared by or with others; type and lay out texts; and maintain records relating to production; read transcript or proof type set-up to detect and mark for correction any grammatical, typographical or compositional errors.",Language and documentation services,b. Editing-related and proofreading
2.2.05,GS,"Assist in the coordination and organization of meetings; plan and follow up the use of conference rooms on the basis of the programme of conferences and the specific needs of each conference; plan the various services required for each conference; determine seating arrangements in conference rooms and other rooms in the secretariat, prepare and adapt rooms and put them back in order; assist in the practical organization of meetings; check the supply of documents, respond to specific requests from delegations and distribute documents to meeting rooms; exchange information relevant to conference services with the substantive services engaged in the conference; provide information to delegates concerning the organization and the activities of the conference; carry out measures for ensuring orderliness and security; and maintain files of general information on conferences and complete various forms concerning meetings.",Conference and meeting services assistance,NULL
2.2.06,GS,"Perform procedural and record-keeping activities related to the procurement and safe transport of personnel and material by air and water usually for relief assistance as part of disaster response or crisis management activities, including acquisition, distribution, internal allocation, delivery, and final disposal of resources; perform functions related to shipping matters such as packing, containerization, mode of shipment, routing etc.; analyse and verify invoices for freight and freight tariffs; carry out tasks related to the safe warehousing and storage of goods and supplies.","Procurement, supply and logistics support",NULL
2.2.06.a,GS,"Perform procedural and technical tasks related to the requisition, procurement and receipt of equipment, supplies and services; perform the simplified operations relating to the purchase of everyday articles and cooperate in the more important or more complex purchasing operations, such as the classification of bids, the preparation of comparative tables, following up on bids and deliveries and requests for information; perform operations relating to the various stages of an order, including an evaluation of the demand, the drafting of specifications, the preparation of invitations to tender, comparison of bids, the preparation of the purchase order and the execution of the order; and participate in the updating of documentation concerning suppliers.","Procurement, supply and logistics support",a. Purchasing and contracting related
2.2.06.b,GS,"Perform duties involving the acquisition, cataloguing, maintenance, distribution and disposal of published material, machinery, equipment, tools, supplies, materials and services, including processing purchase orders, following up on late deliveries, examining delivered merchandise for defects and compliance with order specifications, notifying suppliers of shipment defects, maintaining adequate stock levels, conducting periodic inventories of published material, furnishings, equipment and supplies and updating records, identifying problems of accountability and maintenance as reflected in losses or breakage, ensuring the timely delivery of published material, equipment, supplies and services to the requesting organization and coordinating the disposition of obsolete, defective and surplus equipment according to established practices.","Procurement, supply and logistics support",b. Inventory and supply related
2.2.06.c,GS,"This group includes occupations concerned with loading goods from and unloading goods into storage; checking incoming shipments of supplies, materials and equipment against bills of lading and similar receiving documents; stacking and retrieving goods; taking inventories; recording goods received into and sent out of storage; packing and unpacking; and assembling and disassembling; operating mechanical equipment involved in the movement of goods, including forklifts, freight elevators, conveyor belts and movable loading platforms.","Procurement, supply and logistics support",c. Storing and warehousing
2.2.06.d,GS,"This occupational group performs duties in support of the movement of people and/or property. The functions covered by this group include the operation of automobiles and trucks, as well as logistical, clerical and record-keeping duties in support of local, regional or international transportation.","Procurement, supply and logistics support",d. Transportation related
2.2.06.e,GS,"Perform procedural and technical functions related to the shipping of goods or receiving of equipment, commodities or staff members' effects, or in relation to making travel arrangements. Work involves estimating costs, choosing removal enterprise, establishing conditions of the operation, providing instructions to the carrier and insurance company, following the progress of the operation and intervening in the settlement of claims, assistance to staff members in connection with the import of their vehicles, customs formalities and registration; organization in conjunction with carriers and transport agents of operations relating to the import and export of equipment being received or dispatched; following the progress of these operations and preparing necessary customs documents; and preliminary checking of invoices and keeping records.","Procurement, supply and logistics support",e. Shipping
2.2.06.f,GS,"Organize itineraries for authorized travel in conjunction with the official travel agency, examine travel claims and, in general, give travel information to the staff members concerned and to their organizations; perform the series of operations necessary in order to obtain from consulates and embassies visas required for official travel by staff members and their families, by experts, consultants and fellowship-holders travelling at the organization's expense, and by delegates participating in conferences; and perform operations relating to the issue, renewal and cancellation of travel documents (laissez-passer, certificates and family certificates).","Procurement, supply and logistics support",f. Travel and visa support
2.3,GS,"This job family includes occupations concerned with fabricating, assembling and repairing or reconditioning products or physical plants; the group also includes such tasks as operating and maintaining equipment; providing food services; storing, distributing and accounting for materials; and using manufactured components and assemblies to produce products. The group also consists of occupations concerned with the provision of transport and protective services.",Maintenance and security services,NULL
2.3.01,GS,"Clean and prepare sites for minor construction work to the plant; remove paint and debris from buildings; erect and disassemble scaffolding and other temporary structures, load, unload, identify, and distribute building materials to the appropriate location according to project plans and specifications, tend machines; construct, erect, install, and repair structures and fixtures made from wood and other materials; apply plaster to surfaces in the construction and repair of interior walls and ceilings; construct, alter, maintain and repair structures and structural components using brick, block, stone and similar materials.",Construction and building maintenance work,NULL
2.3.01.a,GS,"Maintain and repair machines and equipment, including electronically controlled machinery: cleaning and lubricating machinery, performing basic diagnostic tests, checking performance, and testing damaged machine parts, adjusting and calibrating automated equipment, disassembling, repairing and replacing defective parts; determining when machines should be sent for overhauling and maintaining an inventory of parts.",Construction and building maintenance work,a. Machine maintenance and repair work
2.3.02,GS,"Carry out procedures to protect persons and property from crime, fire and accidents.",Protective and security services,NULL
2.3.03,GS,"This group includes occupations concerned with the preparing and serving of food and beverages and with setting up, clearing and maintaining dining areas, food utensils and equipment.",Food services,NULL
2.p,GS,"This group includes fields of work and occupations concerned with support work production, service and transport work that are not elsewhere classified.",Support work for which no job family exists,NULL
9Z99z,GS,Occupation is not recorded,Occupation is not recorded,Occupation is not recorded
1.a,IP,"This job family includes occupations concerned with providing specialised administrative services or programme work that facilitates the overall achievement of the organisation’s objectives. Such work includes analysing, evaluating, modifying, developing and advising on, the basic programmes, policies, and procedures, including resources management, which facilitate and support the principal mission of the organization.",Administrative specialists,NULL
1.A.01,IP,"Perform functions related to the organization's accounts, budget and/or treasury operations; plan and administer financial services, including payroll operations, maintain the financial records and ensure that all internal control procedures are implemented; prepare financial statements and plan, install and administer conventional or electronic data processing accounting systems; manage the funds of the organization, including receipt, recording, disbursement and investment of funds from all sources; purchase and sell currencies; arrange banking services; administer collection of assessments from Member Governments and maintain appropriate records; formulate or review budget estimates and proposals to ensure consistency with medium- and long-term programme objectives and financial capacity of organization; prepare budget analytical reports; assist with the preparation of budget and programme directives and guideline material; and develop, install and maintain budgeting systems that provide control of expenditures.",Financial management specialists,NULL
1.A.01.a,IP,"Supervise or perform professional work related to the official accounting records of the organization; plan and administer services relating to the documentation, classification and recording of financial transactions and advise on related problems; plan, install and administer conventional or electronic data-processing accounting systems; prepare and certify financial statements; review tax returns; check and verify accounts and bookkeeping records; develop and maintain accounting systems, procedures and activities, ensuring the application of proper accounting controls and conformity with financial regulations, rules, policies and procedures; review, analyse and evaluate accounting records to ensure proper recording of transactions; prepare accounting and other financial data for management information; review and authorize payments; and administer payroll.",Financial management specialists,a. Accountants-general
1.A.01.c,IP,"Apply principles of financial management to analyse past and present fiscal operations and estimate future revenues and expenditures to prepare budget; analyse proposals in terms of budgetary objectives, past and present operating budgets, and trends in patterns of resource allocations; analyse records of present and past operations, trends and costs, estimated and realized revenues, administrative commitments and obligations incurred; develop, install and maintain budgeting systems that provide control of expenditures; interpret accounts and records of management; and prepare and interpret budget directives and guidelines",Financial management specialists,c. Budget management specialists
1.A.01.e,IP,"Conduct statistical analyses of information affecting organization's investment programmes and evaluate suitability of present and future investments; interpret data concerning the price, yield, stability and future trends of investments, using stock and bond reports, financial periodicals, securities manuals and personnel interviews; summarize data, setting forth current and long-term trends in investments and risks and measurable economic influences pertinent to status of investments; analyse losses; advise on financial trends; and suggest remedial measures.",Financial management specialists,e. Financial analysts
1.A.01.f,IP,"Manage the cash funds of the organization and the receipt, recording and investment of cash from all sources; make disbursements; prepare short- and long-term cash flow plans; decide the level of cash funds required in the short term in various currencies; monitor the organization's portfolio of funds on deposit; purchase and sell currencies to meet the needs determined; invest excess cash funds at the best available interest rates; make banking arrangements; provide technical support to the organization's advisory committee on investments; and complete, record and follow-up on the collections of assessments from Member Governments.",Financial management specialists,f. Treasurers and investment specialists
1.A.02,IP,"Review, examine and evaluate the organization's objectives, structure, procedures, policies and management systems; evaluate the efficiency and effectiveness of organizational programmes, applying techniques such as management and organizational analysis and methods and procedures studies; plan and conduct analyses of programme and budget proposals to ensure conformity with organization's programme and budgetary objectives; prepare reports to management summarizing findings and recommending changes based on those analyses.",Management analysts and programme specialists,NULL
1.A.02.a,IP,"Conduct studies of organizational units, methods, systems and procedures, to ascertain and improve their efficiency and effectiveness, develop information and consider available solutions or alternative methods of proceeding, identify organizational objectives; study and evaluate strategies, policies, delegation and exercise of authority, organizational design, number and classification of positions and formal and informal lines of communication and control; prepare and examine organizational charts, delegation of authority, manuals and other data; conduct interviews to collect and validate data; identify causes of organizational problems and recommend solutions; identify problems that may require detailed methods and systems study; and develop material to assist in staff retraining and orderly implementation of recommendations.",Management analysts and programme specialists,a. Management and organizational analysts
1.A.02.e,IP,"Lead the development and implementation of programmes, provide technical advice and oversight on policies, strategies and operations; may review past and current operating budgets and analyse trends in patterns of resource allocation; prepare comparative analyses of operating programmes by studying costs in relation to objectives achieved or services delivered; examine budget and programme proposals and evaluate priority in accordance with overall budgetary and programme objectives and long-term planning; prepare reports based on those analyses for management with recommendations for acceptance or revision of budget proposals; and assist with preparation of programme directives and guidelines for programme managers and provide interpretation of such material.",Management analysts and programme specialists,e. Programme specialists
1.A.02.f,IP,"Design and develop evaluation policies, systems, concepts and methodologies for normative research and policy analysis functions and, in this context, operational activities in the economic and social sectors; apply and expand objective techniques of social science research, such as economic modelling and statistical techniques for the analysis and projection of data, including objective techniques for data gathering; develop concepts and methodologies for the planning, design, monitoring and implementation of policies, programmes and projects; plan, coordinate and conduct policy-oriented studies; advise organizations on the design and conduct of such policy studies; and integrate evaluation methods and policy studies with economic and social development policies and strategies.",Management analysts and programme specialists,f. Evaluation Specialists
1.A.03,IP,"Plan, develop and organize programmes for the administration of physical operations, maintenance, repair of the organization's   facilities and ensure the physical security and safety of organization's staff and premises.",Facilities management and security coordination specialists,NULL
1.A.03.b,IP,"Plan and coordinate space and infrastructure to ensure the functionality of the built environment by integrating the accommodation of people, facilities, equipment, process and technology. This work involves planning and directing the maintenance and repair of physical structures and utilities,  and the allocation and design of space.",Facilities management and security coordination specialists,b. Facilities management specialists
1.A.03.d,IP,"Plan, develop and administer programmes designed to ensure physical security and safety of the organization's staff and premises; analyse and determine the particular security and safety risks and requirements of the organization; develop and implement security procedures regulating entry to premises and access to personal or confidential files or records, and safeguarding physical assets; ensure development and implementation of procedures to provide physical safety of staff and premises including adequate fire prevention and detection procedures; maintain liaison with management and local law enforcement officials concerning any disturbance or incident that may involve the commission of a crime or the breach of a local law or regulation.",Facilities management and security coordination specialists,d. Security and safety specialists
1.A.04,IP,"Plan, organize and service conferences and meetings of committees, commissions and other bodies; determine conference needs, such as interpretation, translation, documents and security services, space allocations, supplies, equipment and personnel required, and plan, organize and administer services required to meet them; confer with relevant organizational units to ensure timely provision of documentation required for meetings; and advise on the preparation of agenda and procedures for conducting meetings.",Conference and Meeting services administrators,NULL
1.A.05,IP,"Provide planning, developmental, operational, programming, management, and other specialized technical support for the management of the organization's information and its flow by means of computer processing and communications technologies.",Information systems and communication technology specialists,NULL
1.A.05.a,IP,"Evaluate and operate information systems and technologies, including user requirements and technical upgrades. Analyse existing procedures, information flows and users' information needs; analyse and recommend policies concerning informatics and telematics, including making recommendations to assist in the long-range planning of strategies, systems, resources and standards; monitor and perform research on advanced methodologies; Carry out training on management information systems applications and management of computing resources; conduct analyses of management problems to determine the role of information systems.",Information systems and communication technology specialists,a. Management information systems specialists
1.A.05.b,IP,"Analyse and determine short and long term information requirements of users; develop design and implementation approaches; evaluate the cost-benefit of alternative approaches using mainframe, mini-microcomputers and networks; build data models; specify and program pilot and final versions of systems; test, de-bug and document systems and application programs; solve problems of integration of hardware; plan and design upgrades to software tools to improve development and performance of application; plan and coordinate development and re-design of applications; and provide training and ""trouble-shooting"" services.",Information systems and communication technology specialists,b. Systems development specialists
1.A.05.d,IP,"Plan and organize the structure and development of large-scale, multiple-application, organization-wide databases; coordinate and enforce standards and data security for the common definition of data structures; responsible for data integrity and recovery and restart procedures; install and maintain data management software; identify opportunities for more efficient use of existing data and for expanded user access to existing applications utilization; and provide technical assistance and training to systems development specialists.",Information systems and communication technology specialists,d. Database administration specialists
